,날짜,종가,전일비,시가,고가,저가,거래량
80,2023.12.12,73500.0,500.0,73300.0,73500.0,73100.0,13758646.0
81,2023.12.11,73000.0,400.0,72800.0,73000.0,72200.0,9861960.0
82,2023.12.08,72600.0,1100.0,72100.0,72800.0,71900.0,10859463.0
83,2023.12.07,71500.0,200.0,71800.0,71900.0,71100.0,8862017.0
84,2023.12.06,71700.0,500.0,71800.0,72100.0,71600.0,8123087.0
85,2023.12.05,71200.0,1400.0,72300.0,72400.0,71200.0,12129682.0
86,2023.12.04,72600.0,600.0,72800.0,72900.0,72400.0,10229267.0
87,2023.12.01,72000.0,800.0,72400.0,72500.0,71700.0,9871284.0
88,2023.11.30,72800.0,100.0,72700.0,72800.0,72200.0,15783714.0
89,2023.11.29,72700.0,0.0,72400.0,72800.0,72200.0,9283933.0
90,2023.11.28,72700.0,1400.0,71400.0,72700.0,71300.0,13283081.0
91,2023.11.27,71300.0,400.0,71500.0,72100.0,71100.0,9113857.0
92,2023.11.24,71700.0,700.0,72400.0,72600.0,71700.0,6676685.0
93,2023.11.23,72400.0,400.0,73000.0,73200.0,72200.0,6775614.0
94,2023.11.22,72800.0,0.0,72200.0,73000.0,71900.0,11105143.0
95,2023.11.21,72800.0,100.0,73100.0,73400.0,72700.0,9712881.0
96,2023.11.20,72700.0,200.0,72100.0,73000.0,72100.0,10610157.0
97,2023.11.17,72500.0,300.0,72300.0,73000.0,72300.0,11494644.0
98,2023.11.16,72800.0,600.0,72500.0,73000.0,72300.0,15860451.0
99,2023.11.15,72200.0,1400.0,71600.0,72200.0,71500.0,20148677.0
